id,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,release_date,anio,mes_num,nombre_mes,dia
1,Wii Sports,wii,2006,sports,nintendo,41.49,29.02,3.77,8.46,82.74,2006-12-02 00:00:00,2006,12,december,2
2,Super Mario Bros.,nes,1985,platform,nintendo,29.08,3.58,6.81,0.77,40.24,1985-12-12 00:00:00,1985,12,december,12
3,Mario Kart Wii,wii,2008,racing,nintendo,15.85,12.88,3.79,3.31,35.82,2008-09-07 00:00:00,2008,9,september,7
4,Wii Sports Resort,wii,2009,sports,nintendo,15.75,11.01,3.28,2.96,33.0,2009-11-23 00:00:00,2009,11,november,23
5,Pokemon Red/Pokemon Blue,gb,1996,role-playing,nintendo,11.27,8.89,10.22,1.0,31.37,1996-03-20 00:00:00,1996,3,march,20
6,Tetris,gb,1989,puzzle,nintendo,23.2,2.26,4.22,0.58,30.26,1989-12-28 00:00:00,1989,12,december,28
7,New Super Mario Bros.,ds,2006,platform,nintendo,11.38,9.23,6.5,2.9,30.01,2006-07-01 00:00:00,2006,7,july,1
8,Wii Play,wii,2006,misc,nintendo,14.03,9.2,2.93,2.85,29.02,2006-10-24 00:00:00,2006,10,october,24
9,New Super Mario Bros. Wii,wii,2009,platform,nintendo,14.59,7.06,4.7,2.26,28.62,2009-07-25 00:00:00,2009,7,july,25
10,Duck Hunt,nes,1984,shooter,nintendo,26.93,0.63,0.28,0.47,28.31,1984-05-03 00:00:00,1984,5,may,3
11,Nintendogs,ds,2005,simulation,nintendo,9.07,11.0,1.93,2.75,24.76,2005-01-18 00:00:00,2005,1,january,18
12,Mario Kart DS,ds,2005,racing,nintendo,9.81,7.57,4.13,1.92,23.42,2005-07-14 00:00:00,2005,7,july,14
13,Pokemon Gold/Pokemon Silver,gb,1999,role-playing,nintendo,9.0,6.18,7.2,0.71,23.1,1999-06-10 00:00:00,1999,6,june,10
14,Wii Fit,wii,2007,sports,nintendo,8.94,8.03,3.6,2.15,22.72,2007-03-21 00:00:00,2007,3,march,21
